Wavelength (nm),Optical Density,Transmission (%)
1064,5.00273,9.94E-04
1063,5.48071,3.31E-04
1062,5.47396,3.36E-04
1061,5.46722,3.41E-04
1060,5.00252,9.94E-04
1059,5.03783,9.17E-04
1058,5.04971,8.92E-04
1057,5.06158,8.68E-04
1056,5.10831,7.79E-04
1055,5.15503,7.00E-04
1054,5.10369,7.88E-04
1053,5.05234,8.86E-04
1052,5.00687,9.84E-04
1051,5.46141,3.46E-04
1050,5.39084,4.07E-04
1049,5.32027,4.78E-04
1048,5.41022,3.89E-04
1047,5.00017,1.00E-03
1046,5.45787,3.48E-04
1045,5.41557,3.84E-04
1044,5.40136,3.97E-04
1043,5.38715,4.10E-04
1042,5.42035,3.80E-04
1041,5.45355,3.52E-04
1040,5.40228,3.96E-04
1039,5.35101,4.46E-04
1038,5.3997,3.98E-04
1037,5.44839,3.56E-04
1036,5.39908,3.99E-04
1035,5.34977,4.47E-04
1034,5.37943,4.17E-04
1033,5.40908,3.90E-04
1032,5.42594,3.75E-04
1031,5.44279,3.61E-04
1030,5.44526,3.59E-04
1029,5.44773,3.57E-04
1028,5.3629,4.34E-04
1027,5.27808,5.27E-04
1026,5.35123,4.45E-04
1025,5.42439,3.76E-04
1024,5.36544,4.31E-04
1023,5.30649,4.94E-04
1022,5.27862,5.26E-04
1021,5.25074,5.61E-04
1020,5.2877,5.16E-04
1019,5.32467,4.74E-04
1018,5.2668,5.41E-04
1017,5.20892,6.18E-04
1016,5.21731,6.06E-04
1015,5.2257,5.95E-04
1014,5.22757,5.92E-04
1013,5.22944,5.90E-04
1012,5.19951,6.32E-04
1011,5.16957,6.77E-04
1010,5.19962,6.32E-04
1009,5.22968,5.89E-04
1008,5.2234,5.98E-04
1007,5.21712,6.07E-04
1006,5.21639,6.08E-04
1005,5.21565,6.09E-04
1004,5.19509,6.38E-04
1003,5.17453,6.69E-04
1002,5.18694,6.50E-04
1001,5.19935,6.32E-04
1000,5.22566,5.95E-04
999,5.25197,5.60E-04
998,5.23824,5.78E-04
997,5.22452,5.96E-04
996,5.19296,6.41E-04
995,5.16139,6.90E-04
994,5.15021,7.08E-04
993,5.13902,7.26E-04
992,5.10681,7.82E-04
991,5.0746,8.42E-04
990,5.09124,8.11E-04
989,5.10788,7.80E-04
988,5.14657,7.14E-04
987,5.18526,6.53E-04
986,5.21102,6.15E-04
985,5.23678,5.80E-04
984,5.12702,7.46E-04
983,5.21072,6.16E-04
982,5.24711,5.66E-04
981,5.29028,5.13E-04
980,5.33345,4.64E-04
979,5.31436,4.85E-04
978,5.0508,8.90E-04
977,5.28723,5.16E-04
976,5.30455,4.96E-04
975,5.3962,4.02E-04
974,5.47051,3.38E-04
973,5.04483,9.02E-04
972,5.37132,4.25E-04
971,5.19782,6.34E-04
970,5.33378,4.64E-04
969,5.15677,6.97E-04
968,5.39349,4.04E-04
967,5.13022,7.41E-04
966,6.81511,1.53E-05
965,7.04524,9.01E-06
964,5.09048,8.12E-04
963,5.43185,3.70E-04
962,5.2746,5.31E-04
961,5.11735,7.63E-04
960,5.07658,8.38E-04
959,5.03582,9.21E-04
958,5.26898,5.38E-04
957,5.03684,9.19E-04
956,5.4081,3.91E-04
955,5.27937,5.26E-04
954,5.11053,7.75E-04
953,5.02074,9.53E-04
952,5.00324,9.93E-04
